DIA,DIA_SEMANA,MES,OBJECTID,PERIODO,RADICADO,X,Y,NUM_COMUNA,NUM_GRAVEDAD,NUM_DISENO,NUM_CLASE,NUM_BARRIO
26.0,2.0,2.0,558496.0,2018.0,1618095.0,-75.55821926461286,6.2657040080614115,10.0,0.0,1.0,0.0,82.0
2.0,1.0,5.0,559952.0,2018.0,1625820.0,-75.57873878690327,6.240285950953286,7.0,0.0,0.0,0.0,45.0
8.0,5.0,9.0,676233.0,2018.0,1641477.0,-75.64356783994803,6.173219045012455,9.0,0.0,0.0,1.0,15.0
7.0,5.0,7.0,663344.0,2018.0,1633765.0,-75.56999601205102,6.210472803948589,3.0,1.0,0.0,0.0,107.0
17.0,0.0,5.0,559766.0,2018.0,1627523.0,-75.56006977635218,6.300945773589169,12.0,1.0,0.0,0.0,48.0
13.0,6.0,11.0,676956.0,2018.0,1649470.0,-75.57653230321294,6.2538876643000565,2.0,1.0,0.0,0.0,13.0
17.0,6.0,7.0,669655.0,2018.0,1634843.0,-75.57041030841965,6.237501638744122,2.0,1.0,3.0,0.0,53.0
27.0,6.0,2.0,555992.0,2018.0,1618132.0,-75.58326412809707,6.248619499867145,7.0,0.0,2.0,3.0,108.0
10.0,5.0,11.0,678526.0,2018.0,1649087.0,-75.55943208720481,6.299177812848244,12.0,0.0,0.0,2.0,48.0
3.0,1.0,1.0,549582.0,2018.0,1611838.0,-75.54858301960773,6.259593253485867,8.0,1.0,0.0,0.0,49.0
1.0,5.0,12.0,684012.0,2018.0,1651639.0,-75.58456189098052,6.274620209711991,1.0,0.0,2.0,3.0,109.0
