X,Y,OBJECTID,RADICADO,DIA,PERIODO,CBML,DIA_SEMANA,MES,NUM_COMUNA,NUM_GRAVEDAD,NUM_DISENO,NUM_CLASE,group
-75.58536010261402,6.213828435178468,675697.0,1641462.0,7.0,2018.0,1507.0,5.0,9.0,15.0,2.0,2.0,1.0,0
-75.57173659558461,6.257049201094532,681453.0,1646272.0,18.0,2018.0,1005.0,4.0,10.0,10.0,3.0,1.0,4.0,0
-75.64270480768084,6.174980980073053,680760.0,1646898.0,22.0,2018.0,8000.0,1.0,10.0,20.0,1.0,1.0,2.0,0
-75.5704267509131,6.203015405371434,668559.0,1636008.0,27.0,2018.0,1416.0,5.0,7.0,14.0,1.0,1.0,3.0,0
-75.55416472862704,6.268729696544285,663716.0,1633708.0,8.0,2018.0,306.0,7.0,7.0,3.0,1.0,1.0,3.0,0
-75.60521739936112,6.250928661517199,554218.0,1616987.0,17.0,2018.0,1204.0,6.0,2.0,12.0,1.0,1.0,1.0,1
-75.64522492901399,6.173049376833396,566631.0,1629084.0,29.0,2018.0,8000.0,2.0,5.0,20.0,1.0,1.0,1.0,1
-75.57516170745271,6.250194841116235,669073.0,1636164.0,28.0,2018.0,1008.0,6.0,7.0,10.0,1.0,1.0,1.0,0
-75.59589929682322,6.290022548830656,662409.0,1632762.0,28.0,2018.0,713.0,4.0,6.0,7.0,3.0,1.0,4.0,0
-75.58151329408166,6.217750145989529,667591.0,1637062.0,5.0,2018.0,1504.0,7.0,8.0,15.0,2.0,1.0,6.0,0
-75.57678116249393,6.220071957274562,683612.0,1654435.0,22.0,2018.0,1403.0,6.0,12.0,14.0,1.0,1.0,4.0,0
-75.5807084913571,6.2395385198228945,665468.0,1631457.0,14.0,2018.0,1105.0,4.0,6.0,11.0,1.0,2.0,1.0,0
-75.58799096050991,6.254187973099955,674242.0,1640895.0,4.0,2018.0,1102.0,2.0,9.0,11.0,1.0,2.0,1.0,0
-75.56484011957994,6.247042076834799,564176.0,1623473.0,10.0,2018.0,1019.0,2.0,4.0,10.0,2.0,2.0,1.0,1
-75.5691843460411,6.222982743919905,663499.0,1633001.0,1.0,2018.0,1404.0,7.0,7.0,14.0,1.0,1.0,1.0,0
-75.55981895892478,6.300844789177822,553795.0,1620532.0,18.0,2018.0,507.0,7.0,3.0,5.0,3.0,1.0,2.0,1
-75.55376040597069,6.256886309365579,552967.0,1620597.0,19.0,2018.0,801.0,1.0,3.0,8.0,1.0,2.0,1.0,1
-75.57173065726344,6.258927630263949,554302.0,1618580.0,3.0,2018.0,1004.0,6.0,2.0,10.0,1.0,2.0,1.0,1
-75.60054134324683,6.250339830664822,556062.0,1617391.0,20.0,2018.0,1111.0,2.0,2.0,11.0,1.0,2.0,1.0,1
-75.58687705827894,6.266044779413992,677092.0,1648766.0,7.0,2018.0,703.0,3.0,11.0,7.0,3.0,2.0,1.0,0
-75.56852227535387,6.252725898920955,560146.0,1626024.0,3.0,2018.0,1019.0,4.0,5.0,10.0,1.0,1.0,2.0,1
-75.56772413345107,6.244977677626662,555072.0,1616580.0,12.0,2018.0,1013.0,1.0,2.0,10.0,1.0,2.0,1.0,1
-75.56794344302374,6.299677770240043,555858.0,1615712.0,7.0,2018.0,509.0,3.0,2.0,5.0,1.0,2.0,1.0,1
-75.59486444779515,6.274692591264698,679793.0,1647323.0,27.0,2018.0,717.0,6.0,10.0,7.0,1.0,1.0,4.0,0
-75.55770226462514,6.248644632244741,681352.0,1645815.0,12.0,2018.0,1016.0,5.0,10.0,10.0,2.0,2.0,1.0,0
-75.5988187290857,6.277853804608742,666233.0,1637715.0,9.0,2018.0,717.0,4.0,8.0,7.0,1.0,1.0,1.0,0
-75.59893660864378,6.269112836654262,673875.0,1645234.0,8.0,2018.0,1201.0,1.0,10.0,12.0,2.0,2.0,1.0,0
-75.56727664990204,6.301067384498679,682140.0,1646397.0,19.0,2018.0,504.0,5.0,10.0,5.0,3.0,1.0,1.0,0
-75.5725196776958,6.211411355189066,675414.0,1642159.0,13.0,2018.0,1419.0,4.0,9.0,14.0,1.0,2.0,3.0,0
-75.5909681974798,6.260214754854449,551468.0,1613937.0,22.0,2018.0,1113.0,1.0,1.0,11.0,2.0,1.0,2.0,1
-75.57475907487148,6.227621967639768,556183.0,1617983.0,26.0,2018.0,1401.0,1.0,2.0,14.0,1.0,1.0,6.0,1
-75.58813346606259,6.201522069334433,551215.0,1613913.0,19.0,2018.0,1510.0,5.0,1.0,15.0,2.0,2.0,1.0,1
-75.54391916613501,6.265305581697331,563827.0,1623609.0,14.0,2018.0,309.0,6.0,4.0,3.0,3.0,1.0,4.0,1
-75.58672303116404,6.242419322557467,668516.0,1636252.0,26.0,2018.0,1105.0,4.0,7.0,11.0,1.0,2.0,1.0,0
-75.56028104832748,6.246306433600058,558332.0,1622418.0,4.0,2018.0,1016.0,3.0,4.0,10.0,1.0,2.0,1.0,1
-75.57835740864209,6.213718728297707,684518.0,1653321.0,13.0,2018.0,1507.0,4.0,12.0,15.0,1.0,2.0,1.0,0
-75.59663343662265,6.263845640107039,550765.0,1613141.0,16.0,2018.0,1114.0,2.0,1.0,11.0,4.0,1.0,1.0,1
