Longitude,Latitude
-75.5734317,6.2042956
-75.5717472,6.2034583
-75.5705297,6.2030264
-75.5655997,6.2020822
-75.5661522,6.2004078
-75.5745906,6.2653292
-75.574365,6.2659586
-75.5749658,6.2656653
-75.5751108,6.2662572
-75.5754917,6.2656439
-75.5764572,6.2666092
-75.5424964,6.2705336
-75.5777125,6.2707789
-75.5799494,6.2735517
-75.5752611,6.2772789
-75.5757008,6.2747303
-75.5738186,6.2754019
-75.5724286,6.27577
-75.5734747,6.2764097
-75.5719725,6.2766125
-75.5726111,6.2771883
-75.5727825,6.2786067
-75.5723911,6.2801103
-75.5720744,6.2823072
-75.5717097,6.2835817
-75.5704117,6.2864717
-75.5692367,6.28765
-75.5703847,6.2878528
-75.5715219,6.2881833
-75.5710983,6.2895003
-75.5704331,6.2892231
-75.5698536,6.2904603
-75.5695747,6.2916867
-75.5692206,6.2930728
-75.5687594,6.2940114
-75.5675792,6.2965494
-75.5667583,6.2990661
-75.5664311,6.3002925
-75.5672842,6.3010708
-75.5662542,6.3014869
-75.5731636,6.3019431
-75.5722461,6.3014578
-75.6156217,6.2472597
-75.6143556,6.2576475
-75.6147097,6.2571247
-75.6151656,6.2565808
-75.6046139,6.2596897
-75.6005256,6.2597944
-75.7286978,6.2692908
-75.5954608,6.2688161
-75.5968503,6.2685336
-75.6002211,6.2643178
-75.5983008,6.2639339
-75.5969167,6.26347
-75.6078172,6.2419481
-75.6067222,6.24418
-75.6033533,6.2433803
-75.6027308,6.2438708
-75.6078089,6.2419383
-75.6156247,6.2472389
-75.6092839,6.2533886
-75.6076156,6.2522794
-75.6045325,6.2507375
-75.6021831,6.2510628
-75.6028589,6.2506522
-75.6022956,6.2499964
-75.6017056,6.2505297
-75.5997261,6.2500978
-75.5968936,6.250095
-75.5968669,6.2506389
-75.6046217,6.2596944
-75.6041658,6.2592731
-75.6038761,6.25834
-75.6036919,6.2578092
-75.5990139,6.2542519
-75.5983164,6.2562889
-75.6005331,6.2598072
-75.6004686,6.2592419
-75.6189558,6.2767294
