X,Y,OBJECTID,DIRECCION,LOCALIZACION,LINK_FOTO
-75.5671430000772,6.296360000917421,47,Cr 64C Cl 102E,Belalcázar,https://www.medellin.gov.co/simm/camaras-cctv/imagen58.jpg
-75.5695729998966,6.29132700096668,48,Cr 65 Cl 97,EPS Sura Castilla,https://www.medellin.gov.co/simm/camaras-cctv/imagen59.jpg
-75.5834750006214,6.273432999294831,51,Cr 72B Cl 73 ,Pilarica,https://www.medellin.gov.co/simm/camaras-cctv/imagen62.jpg
-75.5750950004468,6.26272399971724,52,Cr 64C Cl 58,Universidad Nacional,https://www.medellin.gov.co/simm/camaras-cctv/imagen63.jpg
-75.56682599981029,6.23304799893615,54,Cr 42 Cl 31A,Angus Brangus,https://www.medellin.gov.co/simm/camaras-cctv/imagen65.jpg
-75.5538799994772,6.217058999951661,55,Cr 22 Cl 16 ,Chuscalito,https://www.medellin.gov.co/simm/camaras-cctv/imagen66.jpg
-75.5699909997775,6.214371999877731,56,Cr 43A Cl 14,Castropol,https://www.medellin.gov.co/simm/camaras-cctv/imagen67.jpg
-75.590205999754,6.23940500062582,58,Tv 39B Cl 70,Glorieta Bulerías,https://www.medellin.gov.co/simm/camaras-cctv/imagen69.jpg
-75.5623650002151,6.25482000127563,59,Cr 47 Cl 58,Villa Nueva,https://www.medellin.gov.co/simm/camaras-cctv/imagen70.jpg
-75.58297899996441,6.18881599937124,60,Cr 49 Cl 17 Sur,Tugó,https://www.medellin.gov.co/simm/camaras-cctv/imagen71.jpg
-75.58032499993121,6.190692999425241,61,Cr 48 Cl 16 Sur,Ford Las Vegas,https://www.medellin.gov.co/simm/camaras-cctv/imagen72.jpg
-75.5727399998954,6.194380000256291,62,Cr 38 Cl 9 Sur,Cent C. Santa Fe,https://www.medellin.gov.co/simm/camaras-cctv/imagen73.jpg
-75.5751300003505,6.225477999279519,63,Cr 48 Cl 20,Clinica Clofan,https://www.medellin.gov.co/simm/camaras-cctv/imagen74.jpg
-75.57509099968371,6.25358399939911,65,Cr 57 Cl 50,Sena,https://www.medellin.gov.co/simm/camaras-cctv/imagen76.jpg
