;Longitude;Latitude;
75°34'19.101W,6°16'35.805N;-75.5719725;6.2766125;
75°34'21.400W,6°16'37.878N;-75.5726111;6.2771883;
75°34'22.017W,6°16'42.984N;-75.5727825;6.2786067;
75°34'20.608W,6°16'48.397N;-75.5723911;6.2801103;
75°34'19.468W,6°16'56.306N;-75.5720744;6.2823072;
75°34'18.155W,6°17'0.894N;-75.5717097;6.2835817;
75°34'13.482W,6°17'11.298N;-75.5704117;6.2864717;
75°34'9.252W,6°17'15.540N;-75.5692367;6.28765;
75°34'13.385W,6°17'16.270N;-75.5703847;6.2878528;
75°34'17.479W,6°17'17.460N;-75.5715219;6.2881833;
75°34'15.954W,6°17'22.201N;-75.5710983;6.2895003;
75°34'13.559W,6°17'21.203N;-75.5704331;6.2892231;
75°34'11.473W,6°17'25.657N;-75.5698536;6.2904603;
75°34'10.469W,6°17'30.072N;-75.5695747;6.2916867;
75°34'9.194W,6°17'35.062N;-75.5692206;6.2930728;
75°34'7.534W,6°17'38.441N;-75.5687594;6.2940114;
75°34'3.285W,6°17'47.578N;-75.5675792;6.2965494;
75°34'0.330W,6°17'56.638N;-75.5667583;6.2990661;
75°33'59.152W,6°18'1.053N;-75.5664311;6.3002925;
75°34'2.223W,6°18'3.855N;-75.5672842;6.3010708;
75°33'58.515W,6°18'5.353N;-75.5662542;6.3014869;
75°34'23.389W,6°18'6.995N;-75.5731636;6.3019431;
75°34'20.086W,6°18'5.248N;-75.5722461;6.3014578;
75°36'56.238W,6°14'50.135N;-75.6156217;6.2472597;
75°36'51.680W,6°15'27.531N;-75.6143556;6.2576475;
75°36'52.955W,6°15'25.649N;-75.6147097;6.2571247;
75°36'54.596W,6°15'23.691N;-75.6151656;6.2565808;
75°36'16.610W,6°15'34.883N;-75.6046139;6.2596897;
75°36'1.892W,6°15'35.260N;-75.6005256;6.2597944;
75°43'43.312W,6°16'9.447N;-75.7286978;6.2692908;
75°35'43.659W,6°16'7.738N;-75.5954608;6.2688161;
75°35'48.661W,6°16'6.721N;-75.5968503;6.2685336;
75°36'0.796W,6°15'51.544N;-75.6002211;6.2643178;
75°35'53.883W,6°15'50.162N;-75.5983008;6.2639339;
75°35'48.900W,6°15'48.492N;-75.5969167;6.26347;
75°36'28.142W,6°14'31.013N;-75.6078172;6.2419481;
75°36'24.200W,6°14'39.048N;-75.6067222;6.24418;
75°36'12.072W,6°14'36.169N;-75.6033533;6.2433803;
75°36'9.831W,6°14'37.935N;-75.6027308;6.2438708;
75°36'28.112W,6°14'30.978N;-75.6078089;6.2419383;
75°36'56.249W,6°14'50.060N;-75.6156247;6.2472389;
75°36'33.422W,6°15'12.199N;-75.6092839;6.2533886;
75°36'27.416W,6°15'8.206N;-75.6076156;6.2522794;
75°36'16.317W,6°15'2.655N;-75.6045325;6.2507375;
75°36'7.859W,6°15'3.826N;-75.6021831;6.2510628;
75°36'10.292W,6°15'2.348N;-75.6028589;6.2506522;
75°36'8.264W,6°14'59.987N;-75.6022956;6.2499964;
75°36'6.140W,6°15'1.907N;-75.6017056;6.2505297;
75°35'59.014W,6°15'0.352N;-75.5997261;6.2500978;
75°35'48.817W,6°15'0.342N;-75.5968936;6.250095;
75°35'48.721W,6°15'2.300N;-75.5968669;6.2506389;
75°36'16.638W,6°15'34.900N;-75.6046217;6.2596944;
75°36'14.997W,6°15'33.383N;-75.6041658;6.2592731;
75°36'13.954W,6°15'30.024N;-75.6038761;6.25834;
75°36'13.291W,6°15'28.113N;-75.6036919;6.2578092;
75°35'56.450W,6°15'15.307N;-75.5990139;6.2542519;
